@relation 'Affect_Clip_Labels_full-weka.filters.unsupervised.attribute.Remove-V-R4,106,157,55,26,176,23,77,74,147,205-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,5,6,7,10,11-weka.filters.supervised.instance.SMOTE-C0-K5-P560.0-S1-weka.filters.unsupervised.instance.Randomize-S42'

@attribute averagecorrect numeric
@attribute mincorrect numeric
@attribute sumcorrect numeric
@attribute averagepercentcorrectperskill numeric
@attribute sumhinttotal numeric
@attribute averagehinttotal numeric
@attribute mintotalfrattempted numeric
@attribute class {no,yes}

@data
1,1,3,0.818119,0,0,192,no
0.858577,0.827008,1.615788,0.551356,4.630689,1.139132,40.487371,yes
1,1,1,0.5,0,0,299,no
1,1,2,1,0,0,23,no
0.468292,0.290485,0.507209,0.485254,0,0,14.844773,yes
0.116595,0,0.450521,0.179464,5.779119,3,28.085344,yes
0,0,0,0.333333,4,4,8,no
1,1,1,1,3,3,15,no
0.333333,0,2,0.186111,6,1,10,no
1,1,1,0.579365,0,0,361,no
0.21589,0,0.53493,0.702761,4.252339,3.265613,29.936191,yes
1,1,1,0.73913,0,0,97,no
0.239084,0,0.434712,0.022512,0.188249,1.73653,51.828385,yes
1,1,4,0.710397,0,0,115,no
0.2,0,2,0.073654,30,3,31,no
1,1,1,0.357143,0,0,19,no
0,0,0,0,0,0,122,no
1,1,1,0.666667,0,0,90,no
0,0,0,0.544118,0,0,329,no
1,1,1,0.5,4,4,24,no
1,1,1,0.833333,3,3,1,no
0,0,0,0.398783,3.517219,3.048597,13,yes
1,1,1,1,0,0,87,no
1,1,2,0.277003,0,0,107,no
0,0,0,0.611111,0,0,121,no
1,1,3,0.558608,0,0,39,no
0.333333,0,1,0.192982,0,0,42,no
0,0,0,0.1875,3,3,29,no
0.930258,0.825389,0.281734,0.431642,0,0,29.25535,yes
0.333333,0,2,0.346233,14,2.333333,65,no
0,0,0,0,4,2,46,no
0.333333,0,1,0.202806,9,3,17,no
0,0,0,0.528502,0,0,107,no
1,1,2,0.8125,0,0,200,no
0,0,0,0.238095,4,4,29,no
1,1,1,1,0,0,9,no
1,1,1,0.666667,0,0,12,no
1,1,1,1,3,3,20,no
0,0,0,0.083333,3,3,40,no
1,1,1,0.2,0,0,45,no
0,0,0,0.566667,0,0,174,no
1,1,1,0.333333,3,3,7,no
0,0,0,0.4375,0,0,112,no
0.666667,0,2,0.311111,0,0,30,no
0.5,0,4,0.583333,0,0,12,no
0,0,0,0.5,0,0,6,no
1,1,1,0.651163,0,0,122,no
0.5,0,1,0.404971,10,5,42,no
0,0,0,0.493852,12,3,74,no
1,1,1,0.285714,2,2,54,no
1,1,2,0.727273,0,0,47,no
1,1,4,0.705556,0,0,65,no
1,1,1,0.732394,0,0,269,no
0.166667,0,1,0.317537,24,4,58,no
1,1,1,1,0,0,85,no
1,1,3,0.809091,0,0,102,no
0,0,0,0.343244,0,0,197,no
1,1,1,0.636364,0,0,85,no
0,0,0,0,0,0,7,no
0,0,0,0.578947,0,0,232,no
0.5,0,1,0.833333,0,0,27,no
1,1,3,0.933333,0,0,116,no
0,0,0,0.588278,5.678362,3,46.184017,yes
1,1,1,0.581395,0,0,70,no
0,0,0,0,0,0,2,no
1,1,1,0.483871,0,0,295,no
0,0,0,0.416896,0,0,133,no
1,1,1,1,0,0,123,no
0,0,0,0.389128,12,3,33,yes
0,0,0,0.625,0,0,286,no
1,1,2,0.859375,0,0,99,no
1,1,1,1,0,0,91,no
1,1,1,0.333333,0,0,41,no
1,1,1,1,0,0,38,no
0.048376,0,0.245897,0.009376,125.766189,4,19.808683,yes
0,0,0,0,1,1,42,no
0,0,0,0,3,3,10,no
1,1,1,1,0,0,290,no
0,0,0,0,0,0,257,no
0,0,0,0.210526,3,3,10,no
1,1,1,1,0,0,122,yes
0.666667,0,2,0.777778,0,0,10,no
1,1,1,0.4,0,0,385,no
0,0,0,0.545455,0,0,52,no
1,1,1,0.333333,0,0,26,no
0.25,0,1,0.05,12,3,36,no
0.200112,0,0.862146,0.277319,3.194285,1.749662,41.621247,yes
0.5,0,1,0.3875,0,0,69,no
0,0,0,0,0,0,1.477601,yes
0.111111,0,3,0.124093,81,3,28,no
0.105936,0.983463,0.601031,0.722739,2.43357,1.600274,102.017592,yes
0,0,0,0,0,0,0,no
1,1,1,0.6,0,0,12,no
0,0,0,0,0,0,5,no
0,0,0,0.526103,16,2.285714,74,no
1,1,2,1,0,0,8,no
0.44059,0.467006,1,0.406674,15.153838,2.751893,121.341456,yes
0,0,0,0.44,5,5,22,no
0.142857,0,1,0.489476,0,0,82,no
0,0,0,0.5,0,0,116,no
0,0,0,0.428571,0,0,10,no
0,0,0,0.309629,4,2,141,no
0.476766,0.446589,0.011769,0.437965,4,4,17.670718,yes
0.5,0,1,0.25,4,2,14,no
1,1,1,0.653846,3,3,35,no
0.333333,0,1,0.555556,0,0,82,no
1,1,1,1,0,0,11,no
0.4,0,2,0.4,0,0,2,no
1,1,1,1,0,0,0,no
0,0,0,0.282621,24,3,45,no
0.75,0,3,0.775877,0,0,32,no
1,1,4,0.9375,0,0,145,no
0,0,0,0.122852,12,2.4,86,no
1,1,1,1,0,0,88,no
0,0,0,0.485294,0,0,100,no
1,1,1,1,3,3,0,no
1,1,1,0.5,0,0,27,no
1,1,2,1,0,0,8,no
1,1,1,1,0,0,12,no
0,0,0,0.5625,0,0,134,no
1,1,2,0.676735,0,0,218,no
1,1,2,1,0,0,36,no
0.666667,0,2,0.611111,2,0.666667,16,no
0,0,0,0.3,0,0,324,no
1,1,1,1,3,3,42,no
1,1,1,0.5,0,0,25,no
1,1,1,0.2,2,2,49,no
1,1,2,0.8125,0,0,120,no
1,1,1,1,0,0,36,no
0.285714,0,2,0.503339,33,4.714286,60,no
0.333333,0,1,0.041667,0,0,266,no
0,0,0,0.202991,3,1,169,no
0.182478,0,0.1061,0.477609,0.004094,0.351822,28,yes
1,1,1,0.75,0,0,80,no
1,1,1,1,0,0,9,no
1,1,2,0.274034,0,0,37,no
0,0,0,0,0,0,54,no
0,0,0,0.423077,0,0,73,no
1,1,1,1,0,0,19,no
1,1,1,0.666667,3,3,19,no
0.333333,0,2,0.111111,6,1,18,no
1,1,1,1,0,0,130,no
0,0,0,0,2,2,1,yes
0,0,0,0.166667,3,3,6,no
0,0,0,0,0,0,73,no
1,1,1,0.428571,0,0,44,no
0,0,0,0.206328,0,0,18.184018,yes
0.285714,0,2,0.289058,18,2.571429,178,no
1,1,3,1,0,0,30,no
1,1,3,1,0,0,61,no
1,1,1,1,0,0,20,no
1,1,2,0.651515,0,0,25,no
0.583094,0.752971,0.939051,0.369607,0,0,4,yes
1,1,2,1,0,0,76,no
0.171191,0,0.11409,0.442114,0.544015,0.164689,222.409152,yes
1,1,1,0.272727,5,5,5,no
1,1,1,0.461538,3,3,9,no
0,0,0,0.17664,3.748528,3.622654,4.679091,yes
0,0,0,0,0,0,140,no
0,0,0,0,1,1,4,no
0,0,0,0.338971,16,2.285714,134,no
0.639044,0.357496,0.910003,0.475508,0,0,21.785383,yes
1,1,1,0.368932,0,0,150,no
1,1,1,0.407407,3,3,14,no
1,1,1,0.074468,2,2,29,no
1,1,1,0.714286,0,0,18,no
0,0,0,0.5,0,0,137,no
0,0,0,0,2,2,3,no
1,1,2,0.736232,0,0,284,no
0,0,0,0.25,0,0,18,no
1,1,2,1,0,0,57,no
0,0,0,0.381679,3.345423,3.502808,13.868836,yes
1,1,2,0.666667,0,0,17,no
1,1,1,0.862745,0,0,206,no
0,0,0,0.170525,40,5,18,no
0.333333,0,1,0.365502,9,3,40,no
0,0,0,0.285714,2,2,1,yes
1,1,1,0.777778,0,0,156,no
0.25,0,1,0.217711,12,3,35,no
1,1,1,1,0,0,183,no
0,0,0,0,3,3,8,no
1,1,1,1,0,0,2,no
0,0,0,0.666667,0,0,0,no
1,1,1,0.25,0,0,31,no
0.764628,0.633051,1.838965,0.412208,0.888469,1.426299,40.110174,yes
1,1,1,0.666667,0,0,44,no
0,0,0,0.397192,40,4,59,yes
1,1,1,1,0,0,30,no
1,1,1,1,0,0,16,no
0,0,0,0.2,2,2,10,no
0.368158,0.115535,0.342518,0.871345,0,0,136.909292,yes
0,0,0,0,0,0,121,no
0.729987,0.654183,0.850674,0.41892,4,4,11.781955,yes
0.5,0,1,0.745968,0,0,111,no
0,0,0,0.555556,0,0,76,no
0,0,0,0,2,2,1,no
1,1,1,0.56,0,0,272,no
0.333333,0,1,0.468455,3,1,19,no
0,0,0,0.189881,16,4,4,no
1,1,2,0.6325,0,0,113,no
0,0,0,0,0,0,12,no
1,1,4,0.818182,0,0,64,no
1,1,1,0.833333,0,0,71,no
0.726813,0.16448,1,0.605088,0,0,39.488075,yes
1,1,1,1,0,0,1,no
1,1,5,0.89121,0,0,141,no
0.081248,0.892468,0.642902,0.132087,4,4,4.409514,yes
1,1,1,1,0,0,15,no
0.323954,0.135224,0.268788,0.876915,0,0,1.506844,yes
0.166667,0,1,0.126587,18,3,1,no
1,1,1,0.8125,0,0,39,no
0.666667,0,2,0.639495,0,0,179,no
1,1,2,0.916667,0,0,141,no
1,1,1,0.666667,3,3,24,no
1,1,1,1,3,3,40,no
0,0,0,0.29375,0,0,70,no
1,1,1,1,0,0,7,no
1,1,1,1,0,0,84,no
1,1,3,0.761905,0,0,44,no
0.666667,0,2,0.766938,0,0,193,no
0.428571,0,3,0.216828,0,0,29,no
1,1,1,0.333333,0,0,40,no
1,1,1,1,0,0,12,no
1,1,2,0.931818,0,0,196,no
0,0,0,0.142857,3,3,77,no
1,1,1,1,0,0,2,no
1,1,2,1,0,0,108,no
0,0,0,0.35,0,0,183,no
1,1,1,1,5,5,18,no
0.222222,0,2,0.428764,24,2.666667,45,no
0.421376,0,0.20924,0.507768,0.511203,0.843729,13,yes
0,0,0,0.25,0,0,6,no
1,1,3,0.455556,3,1,9,no
1,1,1,1,0,0,8,no
0,0,0,0.208333,1,1,12,no
0,0,0,0,0,0,52,no
0.090527,0,0.930326,0.208635,18.110169,3.583415,10.788793,yes
1,1,3,0.777778,0,0,109,no
0.5,0,1,0.416667,0,0,5,no
0,0,0,0,480,4,24,yes
1,1,1,0.5,0,0,12,no
1,1,1,0.692308,0,0,54,no
1,1,1,0.75,0,0,17,no
0.5,0,4,0.507011,0,0,138,no
